last_name	first_name	middle_name	suffix	nickname	full_name	birthday	gender	type	state	dummy	state_pop_2019	senate_class	party	ginsberg_vote
Hirono	Mazie	K.			Mazie K. Hirono	11/3/47	F	sen	HI	1	1415872	1	Democrat	No
Schatz	Brian	Emanuel			Brian Schatz	10/20/72	M	sen	HI	2	1415872	3	Democrat	No
Grassley	Charles	E.		Chuck	Chuck Grassley	9/17/33	M	sen	IA	1	3155070	3	Republican	Yes
Ernst	Joni				Joni Ernst	7/1/70	F	sen	IA	2	3155070	2	Republican	Yes
Risch	James				James E. Risch	5/3/43	M	sen	ID	1	1787065	2	Republican	Yes
Crapo	Michael	D.			Mike Crapo	5/20/51	M	sen	ID	2	1787065	3	Republican	Yes
Durbin	Richard	J.			Richard J. Durbin	11/21/44	M	sen	IL	1	12671821	2	Democrat	No
Duckworth	Tammy				Tammy Duckworth	3/12/68	F	sen	IL	2	12671821	3	Democrat	No
Young	Todd	C.			Todd Young	8/24/72	M	sen	IN	1	6732219	3	Republican	Yes
Braun	Mike				Mike Braun	3/24/54	M	sen	IN	2	6732219	1	Republican	Yes
Roberts	Pat				Pat Roberts	4/20/36	M	sen	KS	1	2913314	2	Republican	Yes
Moran	Jerry				Jerry Moran	5/29/54	M	sen	KS	2	2913314	3	Republican	Yes
McConnell	Mitch				Mitch McConnell	2/20/42	M	sen	KY	1	4467673	2	Republican	Yes
Paul	Rand				Rand Paul	1/7/63	M	sen	KY	2	4467673	3	Republican	Yes
Cassidy	Bill				Bill Cassidy	9/28/57	M	sen	LA	1	4648794	2	Republican	Yes
Kennedy	John	Neely			John Kennedy	11/21/51	M	sen	LA	2	4648794	3	Republican	Yes
Markey	Edward	J.		Ed	Edward J. Markey	7/11/46	M	sen	MA	1	6892503	2	Democrat	No
Warren	Elizabeth				Elizabeth Warren	6/22/49	F	sen	MA	2	6892503	1	Democrat	No
Cardin	Benjamin	L.			Benjamin L. Cardin	10/5/43	M	sen	MD	1	6045680	1	Democrat	No
Van Hollen	Chris		Jr.		Chris Van Hollen	1/10/59	M	sen	MD	2	6045680	3	Democrat	No
Collins	Susan	M.			Susan M. Collins	12/7/52	F	sen	ME	1	1344212	2	Republican	No
King	Angus				"Angus S. King, Jr."	3/31/44	M	sen	ME	2	1344212	1	Independent	No
Stabenow	Debbie	Ann			Debbie Stabenow	4/29/50	F	sen	MI	1	9986857	1	Democrat	No
Peters	Gary	C.			Gary C. Peters	12/1/58	M	sen	MI	2	9986857	2	Democrat	No
Klobuchar	Amy	Jean			Amy Klobuchar	5/25/60	F	sen	MN	1	5639632	1	Democrat	No
Smith	Tina	Flint			Tina Smith	3/4/58	F	sen	MN	2	5639632	2	Democrat	No
Blunt	Roy				Roy Blunt	1/10/50	M	sen	MO	1	6137428	3	Republican	Yes
Hawley	Joshua				Josh Hawley	12/31/79	M	sen	MO	2	6137428	1	Republican	Yes
Wicker	Roger	F.			Roger F. Wicker	7/5/51	M	sen	MS	1	2976149	1	Republican	Yes
Hyde-Smith	Cindy				Cindy Hyde-Smith	5/10/59	F	sen	MS	2	2976149	2	Republican	Yes
Tester	Jon				Jon Tester	8/21/56	M	sen	MT	1	1068778	1	Democrat	No
Daines	Steve				Steve Daines	8/20/62	M	sen	MT	2	1068778	2	Republican	Yes
Burr	Richard	M.			Richard Burr	11/30/55	M	sen	NC	1	10488084	3	Republican	Yes
Tillis	Thom				Thom Tillis	8/30/60	M	sen	NC	2	10488084	2	Republican	Yes
Hoeven	John				John Hoeven	3/13/57	M	sen	ND	1	762062	3	Republican	Yes
Cramer	Kevin				Kevin Cramer	1/21/61	M	sen	ND	2	762062	1	Republican	Yes
Fischer	Deb				Deb Fischer	3/1/51	F	sen	NE	1	1934408	1	Republican	Yes
Sasse	Benjamin	Eric			Ben Sasse	2/22/72	M	sen	NE	2	1934408	2	Republican	Yes
Shaheen	Jeanne				Jeanne Shaheen	1/28/47	F	sen	NH	1	1359711	2	Democrat	No
Hassan	Margaret	Wood		Maggie	Margaret Wood Hassan	2/27/58	F	sen	NH	2	1359711	3	Democrat	No
Menendez	Robert			Bob	Robert Menendez	1/1/54	M	sen	NJ	1	8882190	1	Democrat	No
Booker	Cory	Anthony			Cory A. Booker	4/27/69	M	sen	NJ	2	8882190	2	Democrat	No
Udall	Tom	S.			Tom Udall	5/18/48	M	sen	NM	1	2096829	2	Democrat	No
Heinrich	Martin				Martin Heinrich	10/17/71	M	sen	NM	2	2096829	1	Democrat	No
Cortez Masto	Catherine				Catherine Cortez Masto	3/29/64	F	sen	NV	1	3080156	3	Democrat	No
Rosen	Jacky				Jacky Rosen	8/2/57	F	sen	NV	2	3080156	1	Democrat	No
Gillibrand	Kirsten	E.			Kirsten E. Gillibrand	12/9/66	F	sen	NY	1	19453561	1	Democrat	No
Schumer	Charles	E.		Chuck	Charles E. Schumer	11/23/50	M	sen	NY	2	19453561	3	Democrat	No
Brown	Sherrod				Sherrod Brown	11/9/52	M	sen	OH	1	11689100	1	Democrat	No
Portman	Robert	J.		Rob	Rob Portman	12/19/55	M	sen	OH	2	11689100	3	Republican	Yes
Inhofe	James	M.		Jim	James M. Inhofe	11/17/34	M	sen	OK	1	3956971	2	Republican	Yes
Lankford	James				James Lankford	3/4/68	M	sen	OK	2	3956971	3	Republican	Yes
Merkley	Jeff				Jeff Merkley	10/24/56	M	sen	OR	1	4217737	2	Democrat	No
Wyden	Ron				Ron Wyden	5/3/49	M	sen	OR	2	4217737	3	Democrat	No
Casey	Robert	P.	Jr.	Bob	"Robert P. Casey, Jr."	4/13/60	M	sen	PA	1	12801989	1	Democrat	No
Toomey	Patrick	J.		Pat	Patrick J. Toomey	11/17/61	M	sen	PA	2	12801989	3	Republican	Yes
Whitehouse	Sheldon				Sheldon Whitehouse	10/20/55	M	sen	RI	1	1059361	1	Democrat	No
Reed	John	F.		Jack	Jack Reed	11/12/49	M	sen	RI	2	1059361	2	Democrat	No
Graham	Lindsey	O.			Lindsey Graham	7/9/55	M	sen	SC	1	5148714	2	Republican	Yes
Scott	Tim				Tim Scott	9/19/65	M	sen	SC	2	5148714	3	Republican	Yes
Thune	John				John Thune	1/7/61	M	sen	SD	1	884659	3	Republican	Yes
Rounds	Mike				Mike Rounds	10/24/54	M	sen	SD	2	884659	2	Republican	Yes
Alexander	Lamar				Lamar Alexander	7/3/40	M	sen	TN	1	6829174	2	Republican	Yes
Blackburn	Marsha	W.			Marsha Blackburn	6/6/52	F	sen	TN	2	6829174	1	Republican	Yes
Cornyn	John				John Cornyn	2/2/52	M	sen	TX	1	28995881	2	Republican	Yes
Cruz	Ted				Ted Cruz	12/22/70	M	sen	TX	2	28995881	1	Republican	Yes
Lee	Mike				Mike Lee	6/4/71	M	sen	UT	1	3205958	3	Republican	Yes
Romney	Mitt				Mitt Romney	3/12/47	M	sen	UT	2	3205958	1	Republican	Unknown
Warner	Mark				Mark R. Warner	12/15/54	M	sen	VA	1	8535519	2	Democrat	No
Kaine	Timothy			Tim	Tim Kaine	2/26/58	M	sen	VA	2	8535519	1	Democrat	No
Sanders	Bernard			Bernie	Bernard Sanders	9/8/41	M	sen	VT	1	623989	1	Independent	No
Leahy	Patrick	J.			Patrick J. Leahy	3/31/40	M	sen	VT	2	623989	3	Democrat	No
Cantwell	Maria				Maria Cantwell	10/13/58	F	sen	WA	1	7614893	1	Democrat	No
Murray	Patty				Patty Murray	10/11/50	F	sen	WA	2	7614893	3	Democrat	No
Baldwin	Tammy				Tammy Baldwin	2/11/62	F	sen	WI	1	5822434	1	Democrat	No
Johnson	Ron				Ron Johnson	4/8/55	M	sen	WI	2	5822434	3	Republican	Yes
Manchin	Joe		III		"Joe Manchin, III"	8/24/47	M	sen	WV	1	1792147	1	Democrat	No
Capito	Shelley	Moore			Shelley Moore Capito	11/26/53	F	sen	WV	2	1792147	2	Republican	Yes
Barrasso	John	A.			John Barrasso	7/21/52	M	sen	WY	1	578759	1	Republican	Yes
Enzi	Michael	B.			Michael B. Enzi	2/1/44	M	sen	WY	2	578759	2	Republican	Yes
